category,product_name,product_url,image_url
"152-05","CHEESECAKE KARIŞIK","https://toptanpastacim.com/product/152-05-00013/cheesecake-karisik/152-05","https://toptanpastacim.com/Resimler/5dd179d8-3053-46cc-83cb-dea964405a54.JPG"
"152-05","CHEESECAKE LOTUS","https://toptanpastacim.com/product/152-05-00027/cheesecake-lotus/152-05","https://toptanpastacim.com/Resimler/b581fb11-9ddd-4c1d-b671-27db59150ab7.jpeg"
"152-05","FRAMBUAZ MARKİ","https://toptanpastacim.com/product/152-05-00021/frambuaz-marki/152-05","https://toptanpastacim.com/Resimler/07c2a85e-4eed-4b3f-92d9-b521b9096c76.jpg"
"152-05","GANAJ MARKİ","https://toptanpastacim.com/product/152-05-00024/ganaj-marki/152-05","https://toptanpastacim.com/Resimler/a08fe7fa-6211-4a45-9f8a-d15f782804ef.JPG"
"152-05","KARAMEL MARKİ","https://toptanpastacim.com/product/152-05-00023/karamel-marki/152-05","https://toptanpastacim.com/Resimler/8fc63d2c-59f2-4486-a7da-935547dc6251.JPG"
"152-05","MİNİ İBİZA","https://toptanpastacim.com/product/152-05-00005/mini-ibiza/152-05","https://toptanpastacim.com/Resimler/8bca2f80-09c9-453e-8fdd-a69767d21915.JPG"
"152-05","PORTAKALLI BİTTER MARKİ","https://toptanpastacim.com/product/152-05-00016/portakalli-bitter-marki/152-05","https://toptanpastacim.com/Resimler/a32aba06-4bfd-4fa4-b71e-f6581121ecc8.JPG"
"152-05","RULO MUZ","https://toptanpastacim.com/product/152-05-00007/rulo-muz/152-05","https://toptanpastacim.com/Resimler/54ef4028-dc03-4a30-99c6-35760ca1ddf4.JPG"
"152-05","TARTOLET &#199;İLEKLİ","https://toptanpastacim.com/product/152-05-00008/tartolet-cilekli/152-05","https://toptanpastacim.com/Resimler/f0fa343f-b373-42f5-8f4d-5667222814de.JPG"
"152-05","TARTOLET KARIŞIK","https://toptanpastacim.com/product/152-05-00009/tartolet-karisik/152-05","https://toptanpastacim.com/Resimler/495a5341-b95b-44a9-be13-3ded3f803ed6.JPG"
"152-06","ISLAK KEK","https://toptanpastacim.com/product/152-06-00010/islak-kek/152-06","https://toptanpastacim.com/Resimler/6440b010-a2de-4e14-b0bc-eb382bdf4576.png"
"152-06","TRİLE&#199;E FRAMBUAZ","https://toptanpastacim.com/product/152-06-00001/trilece-frambuaz/152-06","https://toptanpastacim.com/Resimler/a51c275d-5f05-43f2-bd38-96d9d959d68b.png"
"152-06","TRİLE&#199;E KARAMEL","https://toptanpastacim.com/product/152-06-00002/trilece-karamel/152-06","https://toptanpastacim.com/Resimler/5a085664-3974-41b9-a865-030cfa133ee7.png"
